頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
1,TW0001101004,1101,台泥,上市,股票,水泥工業,1962/2/9,ESVUFR,
2,TW0001102002,1102,亞泥,上市,股票,水泥工業,1962/6/8,ESVUFR,
3,TW0001103000,1103,嘉泥,上市,股票,水泥工業,1969/11/14,ESVUFR,
4,TW0001104008,1104,環泥,上市,股票,水泥工業,1971/2/1,ESVUFR,
5,TW0001108009,1108,幸福,上市,股票,水泥工業,1990/6/6,ESVUFR,
6,TW0001109007,1109,信大,上市,股票,水泥工業,1991/12/5,ESVUFR,
7,TW0001110005,1110,東泥,上市,股票,水泥工業,1994/10/22,ESVUFR,
8,TW0001201002,1201,味全,上市,股票,食品工業,1962/2/9,ESVUFR,
9,TW0001203008,1203,味王,上市,股票,食品工業,1964/8/24,ESVUFR,
10,TW0001210003,1210,大成,上市,股票,食品工業,1978/5/20,ESVUFR,
11,TW0001213007,1213,大飲,上市,股票,食品工業,1981/4/10,ESVUFR,
12,TW0001215002,1215,卜蜂,上市,股票,食品工業,1987/7/27,ESVUFR,
13,TW0001216000,1216,統一,上市,股票,食品工業,1987/12/28,ESVUFR,
14,TW0001217008,1217,愛之味,上市,股票,食品工業,1989/10/28,ESVUFR,
15,TW0001218006,1218,泰山,上市,股票,食品工業,1989/11/11,ESVUFR,
16,TW0001219004,1219,福壽,上市,股票,食品工業,1990/12/1,ESVUFR,
17,TW0001220002,1220,台榮,上市,股票,食品工業,1991/11/20,ESVUFR,
18,TW0001225001,1225,福懋油,上市,股票,食品工業,1993/9/27,ESVUFR,
19,TW0001227007,1227,佳格,上市,股票,食品工業,1994/4/9,ESVUFR,
20,TW0001229003,1229,聯華,上市,股票,食品工業,1976/7/19,ESVUFR,
21,TW0001231009,1231,聯華食,上市,股票,食品工業,1995/11/2,ESVUFR,
22,TW0001232007,1232,大統益,上市,股票,食品工業,1996/2/9,ESVUFR,
23,TW0001233005,1233,天仁,上市,股票,食品工業,1999/1/20,ESVUFR,
24,TW0001234003,1234,黑松,上市,股票,食品工業,1999/3/12,ESVUFR,
25,TW0001235000,1235,興泰,上市,股票,食品工業,2000/9/11,ESVUFR,
26,TW0001236008,1236,宏亞,上市,股票,食品工業,2001/9/17,ESVUFR,
27,KYG858681003,1256,鮮活果汁-KY,上市,股票,食品工業,2016/3/17,ESVUFR,
28,TW0001301000,1301,台塑,上市,股票,塑膠工業,1964/7/27,ESVUFR,
29,TW0001303006,1303,南亞,上市,股票,塑膠工業,1967/11/5,ESVUFR,
30,TW0001304004,1304,台聚,上市,股票,塑膠工業,1972/5/20,ESVUFR,
