date,open,high,low,close,volume
2026-04-28,10.0,10.0,10.0,10.0,0
2026-04-29,10.0,10.0,10.0,10.0,0
2026-04-30,9.99,9.99,9.99,9.99,0
2026-05-04,10.06,10.06,10.06,10.06,0
2026-05-05,10.04,10.04,10.04,10.04,0
2026-05-06,10.07,10.07,10.07,10.07,0
2026-05-07,10.14,10.14,10.14,10.14,0
2026-05-08,10.01,10.01,10.01,10.01,0
2026-05-11,10.2,10.2,10.2,10.2,0
2026-05-12,10.93,10.96,10.51,10.8,11429599
2026-05-13,10.3,10.35,10.12,10.18,6920918
2026-05-14,10.33,10.38,10.21,10.24,843625361
2026-05-15,10.38,10.38,10.0,10.0,1846753344
2026-05-18,9.88,9.88,9.71,9.84,1272733421
2026-05-19,9.85,9.92,9.72,9.72,976965589
2026-05-20,9.73,9.77,9.64,9.66,746716529
2026-05-21,9.9,10.02,9.89,10.01,428014431
2026-05-22,10.12,10.21,10.12,10.2,539776086
2026-05-25,10.4,10.62,10.38,10.58,718462645
2026-05-26,10.76,10.76,10.48,10.64,609501641
2026-05-27,10.84,10.98,10.7,10.78,739388249
2026-05-28,10.87,10.89,10.4,10.47,805110302
2026-05-29,10.75,10.77,10.62,10.7,465055289
2026-06-01,10.74,10.94,10.73,10.82,581043108
2026-06-02,10.85,10.87,10.52,10.7,504337802
2026-06-03,10.81,10.95,10.77,10.79,601847797
2026-06-04,10.68,10.71,10.56,10.59,405187907
2026-06-05,10.44,10.54,10.13,10.41,542851460
2026-06-08,9.7,10.15,9.69,10.13,683455032
2026-06-09,10.26,10.42,10.15,10.41,404656594
2026-06-10,10.3,10.47,10.03,10.04,512886989
2026-06-11,10.03,10.17,9.73,9.99,765520325
2026-06-12,10.3,10.5,10.2,10.25,488163712
2026-06-15,10.54,10.65,10.52,10.61,821452104
2026-06-16,10.74,10.77,10.66,10.7,586932735
2026-06-17,10.6,10.75,10.57,10.75,337002942
2026-06-18,10.85,11.03,10.83,11.03,739984510
2026-06-22,11.34,11.41,11.3,11.38,398768469
2026-06-23,11.42,11.45,11.07,11.1,422339285
2026-06-24,10.84,11.08,10.81,11.04,373082872
2026-06-25,11.23,11.25,10.99,11.11,243969781
2026-06-26,10.96,11.07,10.54,10.56,516496882
2026-06-29,10.58,10.75,10.5,10.62,189685709
2026-06-30,10.83,11.04,10.82,11.02,317350865
2026-07-01,11.24,11.29,11.06,11.15,382299781
2026-07-02,10.91,11.14,10.81,11.14,196380966
2026-07-03,10.94,11.18,10.84,11.14,207953648
2026-07-06,11.24,11.26,10.88,10.93,236988384
2026-07-07,10.98,10.98,10.41,10.45,420136700
2026-07-08,10.47,10.51,10.26,10.41,240360507
2026-07-09,10.45,10.66,10.42,10.48,162985794
2026-07-10,10.48,10.48,10.48,10.48,0
2026-07-13,10.64,10.7,10.31,10.38,151250110
2026-07-14,10.3,10.36,9.79,10.11,748200991
2026-07-15,10.25,10.44,10.19,10.41,224574025
2026-07-16,10.25,10.37,10.14,10.28,181579037
2026-07-17,9.9,9.95,9.52,9.52,1307961767
2026-07-20,9.54,9.55,9.13,9.28,458691159
2026-07-21,9.41,9.76,9.41,9.75,222361743
2026-07-22,9.95,10.07,9.91,9.99,349191761
2026-07-23,10.06,10.12,9.9,9.97,163604657
2026-07-24,9.81,9.92,9.63,9.63,266070142
2026-07-27,9.63,9.64,9.4,9.62,209852784
2026-07-28,9.26,9.26,9.0,9.0,721626867
2026-07-29,9.0,9.02,8.36,8.46,769584012
2026-07-30,8.38,8.83,8.31,8.47,434408706
2026-07-31,9.12,9.29,9.06,9.25,546365773
2026-08-03,9.2,9.49,9.2,9.39,351445820
2026-08-04,9.39,9.65,9.35,9.54,206077509
2026-08-05,9.87,9.95,9.77,9.81,336755397
2026-08-06,9.77,9.94,9.66,9.91,183395414
2026-08-07,9.92,9.93,9.66,9.72,151576254
