日期,開盤價,最高價,最低價,收盤價,成交量
2008-01-02 00:00:00+08:00,11.28,11.28,11.28,11.28,0
2008-01-03 00:00:00+08:00,11.08,11.08,11.08,11.08,0
2008-01-04 00:00:00+08:00,11.2,11.2,11.2,11.2,0
2008-01-07 00:00:00+08:00,10.91,10.91,10.91,10.91,0
2008-01-08 00:00:00+08:00,11.14,11.14,11.14,11.14,0
2008-01-09 00:00:00+08:00,11.34,11.34,11.34,11.34,0
2008-01-10 00:00:00+08:00,11.3,11.3,11.3,11.3,0
2008-01-11 00:00:00+08:00,11.24,11.24,11.24,11.24,0
2008-01-14 00:00:00+08:00,11.35,11.35,11.35,11.35,0
2008-01-15 00:00:00+08:00,11.5,11.5,11.5,11.5,0
2008-01-16 00:00:00+08:00,11.13,11.13,11.13,11.13,0
2008-01-17 00:00:00+08:00,10.95,10.95,10.95,10.95,0
2008-01-18 00:00:00+08:00,10.95,10.95,10.95,10.95,0
2008-01-21 00:00:00+08:00,10.84,10.84,10.84,10.84,0
2008-01-22 00:00:00+08:00,10.18,10.18,10.18,10.18,0
2008-01-23 00:00:00+08:00,10.03,10.03,10.03,10.03,0
2008-01-24 00:00:00+08:00,10.14,10.14,10.14,10.14,0
2008-01-25 00:00:00+08:00,10.31,10.31,10.31,10.31,0
2008-01-28 00:00:00+08:00,9.94,9.94,9.94,9.94,0
2008-01-29 00:00:00+08:00,10.03,10.03,10.03,10.03,0
2008-01-30 00:00:00+08:00,9.99,9.99,9.99,9.99,0
2008-01-31 00:00:00+08:00,10.01,10.01,10.01,10.01,0
2008-02-01 00:00:00+08:00,10.19,10.19,10.19,10.19,0
2008-02-12 00:00:00+08:00,10.0,10.0,10.0,10.0,0
2008-02-13 00:00:00+08:00,9.92,9.92,9.92,9.92,0
2008-02-14 00:00:00+08:00,10.29,10.29,10.29,10.29,0
2008-02-15 00:00:00+08:00,10.27,10.27,10.27,10.27,0
2008-02-18 00:00:00+08:00,10.32,10.32,10.32,10.32,0
2008-02-19 00:00:00+08:00,10.5,10.5,10.5,10.5,0
2008-02-20 00:00:00+08:00,10.28,10.28,10.28,10.28,0
2008-02-21 00:00:00+08:00,10.51,10.51,10.51,10.51,0
2008-02-22 00:00:00+08:00,10.46,10.46,10.46,10.46,0
2008-02-25 00:00:00+08:00,10.69,10.69,10.69,10.69,0
2008-02-26 00:00:00+08:00,10.73,10.73,10.73,10.73,0
2008-02-27 00:00:00+08:00,10.91,10.91,10.91,10.91,0
2008-02-29 00:00:00+08:00,10.9,10.9,10.9,10.9,0
2008-03-03 00:00:00+08:00,10.77,10.77,10.77,10.77,0
2008-03-04 00:00:00+08:00,11.04,11.04,11.04,11.04,0
2008-03-05 00:00:00+08:00,11.07,11.07,11.07,11.07,0
2008-03-06 00:00:00+08:00,11.32,11.32,11.32,11.32,0
2008-03-07 00:00:00+08:00,11.15,11.15,11.15,11.15,0
2008-03-10 00:00:00+08:00,10.93,10.93,10.93,10.93,0
2008-03-11 00:00:00+08:00,10.99,10.99,10.99,10.99,0
2008-03-12 00:00:00+08:00,11.04,11.04,11.04,11.04,0
2008-03-13 00:00:00+08:00,10.75,10.75,10.75,10.75,0
2008-03-14 00:00:00+08:00,10.67,10.67,10.67,10.67,0
2008-03-17 00:00:00+08:00,10.46,10.46,10.46,10.46,0
2008-03-18 00:00:00+08:00,10.56,10.56,10.56,10.56,0
2008-03-19 00:00:00+08:00,10.67,10.67,10.67,10.67,0
2008-03-20 00:00:00+08:00,10.83,10.83,10.83,10.83,0
2008-03-21 00:00:00+08:00,11.02,11.02,11.02,11.02,0
2008-03-24 00:00:00+08:00,11.36,11.36,11.36,11.36,0
2008-03-25 00:00:00+08:00,11.34,11.34,11.34,11.34,0
2008-03-26 00:00:00+08:00,11.32,11.32,11.32,11.32,0
2008-03-27 00:00:00+08:00,11.22,11.22,11.22,11.22,0
2008-03-28 00:00:00+08:00,11.29,11.29,11.29,11.29,0
2008-03-31 00:00:00+08:00,11.26,11.26,11.26,11.26,0
2008-04-01 00:00:00+08:00,11.09,11.09,11.09,11.09,0
2008-04-02 00:00:00+08:00,11.29,11.29,11.29,11.29,0
2008-04-03 00:00:00+08:00,11.23,11.23,11.23,11.23,0
2008-04-07 00:00:00+08:00,11.37,11.37,11.37,11.37,0
2008-04-08 00:00:00+08:00,11.27,11.27,11.27,11.27,0
2008-04-09 00:00:00+08:00,11.25,11.25,11.25,11.25,0
2008-04-10 00:00:00+08:00,11.43,11.43,11.43,11.43,0
2008-04-11 00:00:00+08:00,11.49,11.49,11.49,11.49,0
2008-04-14 00:00:00+08:00,11.55,11.55,11.55,11.55,0
2008-04-15 00:00:00+08:00,11.57,11.57,11.57,11.57,0
2008-04-16 00:00:00+08:00,11.71,11.71,11.71,11.71,0
2008-04-17 00:00:00+08:00,11.75,11.75,11.75,11.75,0
2008-04-18 00:00:00+08:00,11.76,11.76,11.76,11.76,0
2008-04-21 00:00:00+08:00,11.75,11.75,11.75,11.75,0
2008-04-22 00:00:00+08:00,11.72,11.72,11.72,11.72,0
2008-04-23 00:00:00+08:00,11.71,11.71,11.71,11.71,0
2008-04-24 00:00:00+08:00,11.71,11.71,11.71,11.71,0
2008-04-25 00:00:00+08:00,11.69,11.69,11.69,11.69,0
2008-04-28 00:00:00+08:00,11.78,11.78,11.78,11.78,0
2008-04-29 00:00:00+08:00,11.55,11.55,11.55,11.55,0
2008-04-30 00:00:00+08:00,11.6,11.6,11.6,11.6,0
2008-05-02 00:00:00+08:00,11.63,11.63,11.63,11.63,0
2008-05-05 00:00:00+08:00,11.5,11.5,11.5,11.5,0
2008-05-06 00:00:00+08:00,11.53,11.53,11.53,11.53,0
2008-05-07 00:00:00+08:00,11.59,11.59,11.59,11.59,0
2008-05-08 00:00:00+08:00,11.49,11.49,11.49,11.49,0
2008-05-09 00:00:00+08:00,11.43,11.43,11.43,11.43,0
2008-05-12 00:00:00+08:00,11.46,11.46,11.46,11.46,0
2008-05-13 00:00:00+08:00,11.67,11.67,11.67,11.67,0
2008-05-14 00:00:00+08:00,11.71,11.71,11.71,11.71,0
2008-05-15 00:00:00+08:00,11.91,11.91,11.91,11.91,0
2008-05-16 00:00:00+08:00,11.95,11.95,11.95,11.95,0
2008-05-19 00:00:00+08:00,12.11,12.11,12.11,12.11,0
2008-05-20 00:00:00+08:00,11.85,11.85,11.85,11.85,0
2008-05-21 00:00:00+08:00,11.77,11.77,11.77,11.77,0
2008-05-22 00:00:00+08:00,11.65,11.65,11.65,11.65,0
2008-05-23 00:00:00+08:00,11.52,11.52,11.52,11.52,0
2008-05-26 00:00:00+08:00,11.39,11.39,11.39,11.39,0
2008-05-27 00:00:00+08:00,11.45,11.45,11.45,11.45,0
2008-05-28 00:00:00+08:00,11.3,11.3,11.3,11.3,0
2008-05-29 00:00:00+08:00,11.27,11.27,11.27,11.27,0
2008-05-30 00:00:00+08:00,11.16,11.16,11.16,11.16,0
2008-06-02 00:00:00+08:00,11.26,11.26,11.26,11.26,0
2008-06-03 00:00:00+08:00,11.08,11.08,11.08,11.08,0
2008-06-04 00:00:00+08:00,11.19,11.19,11.19,11.19,0
2008-06-05 00:00:00+08:00,11.32,11.32,11.32,11.32,0
2008-06-06 00:00:00+08:00,11.32,11.32,11.32,11.32,0
2008-06-09 00:00:00+08:00,11.18,11.18,11.18,11.18,0
2008-06-10 00:00:00+08:00,10.91,10.91,10.91,10.91,0
2008-06-11 00:00:00+08:00,10.87,10.87,10.87,10.87,0
2008-06-12 00:00:00+08:00,10.43,10.43,10.43,10.43,0
2008-06-13 00:00:00+08:00,10.49,10.49,10.49,10.49,0
2008-06-16 00:00:00+08:00,10.59,10.59,10.59,10.59,0
2008-06-17 00:00:00+08:00,10.55,10.55,10.55,10.55,0
2008-06-18 00:00:00+08:00,10.62,10.62,10.62,10.62,0
2008-06-19 00:00:00+08:00,10.42,10.42,10.42,10.42,0
2008-06-20 00:00:00+08:00,10.23,10.23,10.23,10.23,0
2008-06-23 00:00:00+08:00,10.14,10.14,10.14,10.14,0
2008-06-24 00:00:00+08:00,9.94,9.94,9.94,9.94,0
2008-06-25 00:00:00+08:00,10.15,10.15,10.15,10.15,0
2008-06-26 00:00:00+08:00,10.15,10.15,10.15,10.15,0
2008-06-27 00:00:00+08:00,9.87,9.87,9.87,9.87,0
2008-06-30 00:00:00+08:00,9.9,9.9,9.9,9.9,0
2008-07-01 00:00:00+08:00,9.79,9.79,9.79,9.79,0
2008-07-02 00:00:00+08:00,9.83,9.83,9.83,9.83,0
2008-07-03 00:00:00+08:00,9.87,9.87,9.87,9.87,0
2008-07-04 00:00:00+08:00,9.62,9.62,9.62,9.62,0
2008-07-07 00:00:00+08:00,9.78,9.78,9.78,9.78,0
2008-07-08 00:00:00+08:00,9.4,9.4,9.4,9.4,0
2008-07-09 00:00:00+08:00,9.42,9.42,9.42,9.42,0
2008-07-10 00:00:00+08:00,9.51,9.51,9.51,9.51,0
2008-07-11 00:00:00+08:00,9.74,9.74,9.74,9.74,0
2008-07-14 00:00:00+08:00,9.64,9.64,9.64,9.64,0
2008-07-15 00:00:00+08:00,9.25,9.25,9.25,9.25,0
2008-07-16 00:00:00+08:00,9.11,9.11,9.11,9.11,0
2008-07-17 00:00:00+08:00,9.34,9.34,9.34,9.34,0
2008-07-18 00:00:00+08:00,9.12,9.12,9.12,9.12,0
2008-07-21 00:00:00+08:00,9.36,9.36,9.36,9.36,0
2008-07-22 00:00:00+08:00,9.34,9.34,9.34,9.34,0
2008-07-23 00:00:00+08:00,9.71,9.71,9.71,9.71,0
2008-07-24 00:00:00+08:00,9.83,9.83,9.83,9.83,0
2008-07-25 00:00:00+08:00,9.71,9.71,9.71,9.71,0
2008-07-29 00:00:00+08:00,9.48,9.48,9.48,9.48,0
2008-07-30 00:00:00+08:00,9.55,9.55,9.55,9.55,0
2008-07-31 00:00:00+08:00,9.5,9.5,9.5,9.5,0
2008-08-01 00:00:00+08:00,9.43,9.43,9.43,9.43,0
2008-08-04 00:00:00+08:00,9.32,9.32,9.32,9.32,0
2008-08-05 00:00:00+08:00,9.07,9.07,9.07,9.07,0
2008-08-06 00:00:00+08:00,9.32,9.32,9.32,9.32,0
2008-08-07 00:00:00+08:00,9.28,9.28,9.28,9.28,0
2008-08-08 00:00:00+08:00,9.48,9.48,9.48,9.48,0
2008-08-11 00:00:00+08:00,9.65,9.65,9.65,9.65,0
2008-08-12 00:00:00+08:00,9.61,9.61,9.61,9.61,0
2008-08-13 00:00:00+08:00,9.72,9.72,9.72,9.72,0
2008-08-14 00:00:00+08:00,9.83,9.83,9.83,9.83,0
2008-08-15 00:00:00+08:00,9.67,9.67,9.67,9.67,0
2008-08-18 00:00:00+08:00,9.46,9.46,9.46,9.46,0
2008-08-19 00:00:00+08:00,9.51,9.51,9.51,9.51,0
2008-08-20 00:00:00+08:00,9.53,9.53,9.53,9.53,0
2008-08-21 00:00:00+08:00,9.3,9.3,9.3,9.3,0
2008-08-22 00:00:00+08:00,9.29,9.29,9.29,9.29,0
2008-08-25 00:00:00+08:00,9.47,9.47,9.47,9.47,0
2008-08-26 00:00:00+08:00,9.41,9.41,9.41,9.41,0
2008-08-27 00:00:00+08:00,9.58,9.58,9.58,9.58,0
2008-08-28 00:00:00+08:00,9.61,9.61,9.61,9.61,0
2008-08-29 00:00:00+08:00,9.71,9.71,9.71,9.71,0
2008-09-01 00:00:00+08:00,9.42,9.42,9.42,9.42,0
2008-09-02 00:00:00+08:00,9.32,9.32,9.32,9.32,0
2008-09-03 00:00:00+08:00,9.1,9.1,9.1,9.1,0
2008-09-04 00:00:00+08:00,8.79,8.79,8.79,8.79,0
2008-09-05 00:00:00+08:00,8.58,8.58,8.58,8.58,0
2008-09-08 00:00:00+08:00,9.04,9.04,9.04,9.04,0
2008-09-09 00:00:00+08:00,8.7,8.7,8.7,8.7,0
2008-09-10 00:00:00+08:00,8.73,8.73,8.73,8.73,0
2008-09-11 00:00:00+08:00,8.4,8.4,8.4,8.4,0
2008-09-12 00:00:00+08:00,8.52,8.52,8.52,8.52,0
2008-09-15 00:00:00+08:00,8.11,8.11,8.11,8.11,0
2008-09-16 00:00:00+08:00,7.64,7.64,7.64,7.64,0
2008-09-17 00:00:00+08:00,7.69,7.69,7.69,7.69,0
2008-09-18 00:00:00+08:00,7.43,7.43,7.43,7.43,0
2008-09-19 00:00:00+08:00,7.89,7.89,7.89,7.89,0
2008-09-22 00:00:00+08:00,8.13,8.13,8.13,8.13,0
2008-09-23 00:00:00+08:00,8.25,8.25,8.25,8.25,0
2008-09-24 00:00:00+08:00,8.24,8.24,8.24,8.24,0
2008-09-25 00:00:00+08:00,8.11,8.11,8.11,8.11,0
2008-09-26 00:00:00+08:00,7.86,7.86,7.86,7.86,0
2008-09-30 00:00:00+08:00,7.61,7.61,7.61,7.61,0
2008-10-01 00:00:00+08:00,7.74,7.74,7.74,7.74,0
2008-10-02 00:00:00+08:00,7.69,7.69,7.69,7.69,0
2008-10-03 00:00:00+08:00,7.76,7.76,7.76,7.76,0
2008-10-06 00:00:00+08:00,7.48,7.48,7.48,7.48,0
2008-10-07 00:00:00+08:00,7.52,7.52,7.52,7.52,0
2008-10-08 00:00:00+08:00,7.09,7.09,7.09,7.09,0
2008-10-09 00:00:00+08:00,6.92,6.92,6.92,6.92,0
2008-10-13 00:00:00+08:00,6.74,6.74,6.74,6.74,0
2008-10-14 00:00:00+08:00,7.08,7.08,7.08,7.08,0
2008-10-15 00:00:00+08:00,7.04,7.04,7.04,7.04,0
2008-10-16 00:00:00+08:00,6.8,6.8,6.8,6.8,0
2008-10-17 00:00:00+08:00,6.67,6.67,6.67,6.67,0
2008-10-20 00:00:00+08:00,6.63,6.63,6.63,6.63,0
2008-10-21 00:00:00+08:00,6.59,6.59,6.59,6.59,0
2008-10-22 00:00:00+08:00,6.48,6.48,6.48,6.48,0
2008-10-23 00:00:00+08:00,6.3,6.3,6.3,6.3,0
2008-10-24 00:00:00+08:00,6.1,6.1,6.1,6.1,0
2008-10-27 00:00:00+08:00,5.82,5.82,5.82,5.82,0
2008-10-28 00:00:00+08:00,5.89,5.89,5.89,5.89,0
2008-10-29 00:00:00+08:00,5.9,5.9,5.9,5.9,0
2008-10-30 00:00:00+08:00,6.26,6.26,6.26,6.26,0
2008-10-31 00:00:00+08:00,6.49,6.49,6.49,6.49,0
2008-11-03 00:00:00+08:00,6.71,6.71,6.71,6.71,0
2008-11-04 00:00:00+08:00,6.73,6.73,6.73,6.73,0
2008-11-05 00:00:00+08:00,6.7,6.7,6.7,6.7,0
2008-11-06 00:00:00+08:00,6.33,6.33,6.33,6.33,0
2008-11-07 00:00:00+08:00,6.44,6.44,6.44,6.44,0
2008-11-10 00:00:00+08:00,6.47,6.47,6.47,6.47,0
2008-11-11 00:00:00+08:00,6.32,6.32,6.32,6.32,0
2008-11-12 00:00:00+08:00,6.3,6.3,6.3,6.3,0
2008-11-13 00:00:00+08:00,6.13,6.13,6.13,6.13,0
2008-11-14 00:00:00+08:00,6.16,6.16,6.16,6.16,0
2008-11-17 00:00:00+08:00,6.15,6.15,6.15,6.15,0
2008-11-18 00:00:00+08:00,5.99,5.99,5.99,5.99,0
2008-11-19 00:00:00+08:00,5.97,5.97,5.97,5.97,0
2008-11-20 00:00:00+08:00,5.66,5.66,5.66,5.66,0
2008-11-21 00:00:00+08:00,5.66,5.66,5.66,5.66,0
2008-11-24 00:00:00+08:00,5.63,5.63,5.63,5.63,0
2008-11-25 00:00:00+08:00,5.74,5.74,5.74,5.74,0
2008-11-26 00:00:00+08:00,5.75,5.75,5.75,5.75,0
2008-11-27 00:00:00+08:00,5.99,5.99,5.99,5.99,0
