date,close
2017-01-11,30.31
2017-01-12,30.15
2017-01-13,29.98
2017-01-17,30.07
2017-01-18,30.04
2017-01-19,29.82
2017-01-20,29.49
2017-01-23,29.46
2017-01-24,29.62
2017-02-02,29.07
2017-02-03,28.89
2017-02-06,28.76
2017-02-07,29.05
2017-02-08,29.24
2017-02-09,29.51
2017-02-10,29.27
2017-02-13,29.18
2017-02-14,28.94
2017-02-15,28.65
2017-02-16,28.64
2017-02-17,28.71
2017-02-20,28.86
2017-02-21,28.84
2017-02-22,28.78
2017-02-23,28.93
2017-02-24,28.92
2017-03-01,28.91
2017-03-02,28.77
2017-03-03,28.88
2017-03-06,28.93
2017-03-07,28.72
2017-03-08,28.6
2017-03-09,28.54
2017-03-10,28.42
2017-03-13,28.43
2017-03-14,28.28
2017-03-15,28.35
2017-03-16,28.49
2017-03-17,28.26
2017-03-20,28.38
2017-03-21,28.41
2017-03-22,28.76
2017-03-23,28.79
2017-03-24,28.72
2017-03-27,28.85
2017-03-28,28.72
2017-03-29,28.56
2017-03-30,28.79
2017-03-31,28.66
2017-04-05,28.91
2017-04-06,29.04
2017-04-07,29.19
2017-04-10,29.07
2017-04-11,29.23
2017-04-12,29.44
2017-04-13,29.34
2017-04-14,29.38
2017-04-17,29.42
2017-04-18,29.36
2017-04-19,29.61
2017-04-20,29.61
2017-04-21,29.42
2017-04-24,29.04
2017-04-25,29.1
2017-04-26,28.68
2017-04-27,28.82
2017-04-28,28.94
2017-05-02,28.63
2017-05-03,28.71
2017-05-04,28.79
2017-05-05,28.75
2017-05-08,28.72
2017-05-09,28.66
2017-05-10,28.7
2017-05-11,28.65
2017-05-12,28.66
2017-05-15,28.73
2017-05-16,28.69
2017-05-17,28.86
2017-05-18,29.24
2017-05-19,29.27
2017-05-22,29.08
2017-05-23,29.23
2017-05-24,29.13
2017-05-25,29.12
2017-05-26,29.16
2017-05-31,29.35
2017-06-01,29.41
2017-06-02,29.47
2017-06-05,29.72
2017-06-06,29.66
2017-06-07,29.73
2017-06-08,29.67
2017-06-09,29.57
2017-06-12,29.51
2017-06-13,29.6
2017-06-14,29.65
2017-06-15,30.13
2017-06-16,30.23
2017-06-19,30.22
2017-06-20,30.27
