除息日,股利
2017-08-23 00:00:00+08:00,0.46
2017-11-24 00:00:00+08:00,0.28
2018-03-06 00:00:00+08:00,0.25
2018-05-23 00:00:00+08:00,0.21
2018-08-22 00:00:00+08:00,0.27
2018-11-23 00:00:00+08:00,0.245
2019-03-05 00:00:00+08:00,0.255
2019-05-22 00:00:00+08:00,0.265
2019-08-21 00:00:00+08:00,0.28
2019-11-22 00:00:00+08:00,0.25
2020-02-21 00:00:00+08:00,0.23
2020-05-19 00:00:00+08:00,0.16
2020-08-18 00:00:00+08:00,0.17
2020-11-17 00:00:00+08:00,0.2
2021-02-25 00:00:00+08:00,0.21
2021-05-18 00:00:00+08:00,0.22
2021-08-17 00:00:00+08:00,0.22
2021-11-16 00:00:00+08:00,0.22
2022-02-22 00:00:00+08:00,0.23
2022-05-18 00:00:00+08:00,0.27
2022-08-16 00:00:00+08:00,0.29
2022-11-16 00:00:00+08:00,0.33
2023-02-16 00:00:00+08:00,0.31
2023-05-17 00:00:00+08:00,0.29
2023-08-16 00:00:00+08:00,0.28
2023-11-16 00:00:00+08:00,0.29
2024-02-27 00:00:00+08:00,0.31
2024-05-17 00:00:00+08:00,0.335
2024-08-16 00:00:00+08:00,0.345
2024-11-18 00:00:00+08:00,0.34
2025-02-21 00:00:00+08:00,0.3
2025-05-22 00:00:00+08:00,0.32
2025-08-21 00:00:00+08:00,0.28
2025-11-21 00:00:00+08:00,0.28
