日期,開盤價,最高價,最低價,收盤價,成交量
2017-01-11 00:00:00+08:00,30.62,30.62,30.62,30.62,0
2017-01-12 00:00:00+08:00,30.46,30.46,30.46,30.46,0
2017-01-13 00:00:00+08:00,30.28,30.28,30.28,30.28,0
2017-01-17 00:00:00+08:00,30.39,30.45,30.24,30.38,928000
2017-01-18 00:00:00+08:00,30.36,30.4,30.35,30.35,601000
2017-01-19 00:00:00+08:00,30.23,30.23,30.05,30.12,1001000
2017-01-20 00:00:00+08:00,29.89,29.9,29.79,29.79,261000
2017-01-23 00:00:00+08:00,29.8,29.84,29.76,29.76,338000
2017-01-24 00:00:00+08:00,29.9,29.94,29.87,29.92,861100
2017-02-02 00:00:00+08:00,29.36,29.37,29.3,29.37,639000
2017-02-03 00:00:00+08:00,29.22,29.23,29.15,29.19,1286000
2017-02-06 00:00:00+08:00,29.09,29.09,29.01,29.06,833000
2017-02-07 00:00:00+08:00,29.29,29.37,29.28,29.35,399250
2017-02-08 00:00:00+08:00,29.47,29.58,29.47,29.54,416078
2017-02-09 00:00:00+08:00,29.91,29.91,29.81,29.81,474380
2017-02-10 00:00:00+08:00,29.6,29.6,29.55,29.57,348292
2017-02-13 00:00:00+08:00,29.51,29.51,29.45,29.48,361120
2017-02-14 00:00:00+08:00,29.35,29.35,29.22,29.24,351000
2017-02-15 00:00:00+08:00,29.09,29.09,28.93,28.94,492000
2017-02-16 00:00:00+08:00,28.89,28.94,28.86,28.93,339000
2017-02-17 00:00:00+08:00,28.99,29.02,28.99,29.0,78000
2017-02-20 00:00:00+08:00,29.19,29.2,29.15,29.15,106000
2017-02-21 00:00:00+08:00,29.11,29.15,29.1,29.13,61000
2017-02-22 00:00:00+08:00,29.07,29.09,29.02,29.07,310300
2017-02-23 00:00:00+08:00,29.15,29.22,29.15,29.22,18000
2017-02-24 00:00:00+08:00,29.19,29.25,29.19,29.22,197000
2017-03-01 00:00:00+08:00,29.26,29.28,29.2,29.21,251000
2017-03-02 00:00:00+08:00,29.01,29.08,28.99,29.06,382000
2017-03-03 00:00:00+08:00,29.06,29.21,29.06,29.18,1299000
2017-03-06 00:00:00+08:00,29.21,29.25,29.21,29.22,25000
2017-03-07 00:00:00+08:00,29.06,29.08,29.01,29.01,285000
2017-03-08 00:00:00+08:00,28.91,28.95,28.89,28.89,133000
2017-03-09 00:00:00+08:00,28.86,28.86,28.79,28.83,203000
2017-03-10 00:00:00+08:00,28.72,28.74,28.68,28.71,150000
2017-03-13 00:00:00+08:00,28.66,28.73,28.66,28.72,44805
2017-03-14 00:00:00+08:00,28.57,28.57,28.49,28.57,557079
2017-03-15 00:00:00+08:00,28.7,28.7,28.63,28.64,1805000
2017-03-16 00:00:00+08:00,28.9,28.91,28.72,28.78,1801000
2017-03-17 00:00:00+08:00,28.53,28.57,28.49,28.55,1569300
2017-03-20 00:00:00+08:00,28.78,28.78,28.66,28.66,316000
2017-03-21 00:00:00+08:00,28.66,28.71,28.63,28.7,3044000
2017-03-22 00:00:00+08:00,28.83,29.09,28.83,29.05,2107105
2017-03-23 00:00:00+08:00,29.13,29.13,29.03,29.09,1588000
2017-03-24 00:00:00+08:00,29.04,29.04,28.98,29.01,928000
2017-03-27 00:00:00+08:00,29.16,29.18,29.13,29.14,844210
2017-03-28 00:00:00+08:00,29.07,29.08,28.96,29.01,1458000
2017-03-29 00:00:00+08:00,28.86,28.86,28.79,28.85,2550000
2017-03-30 00:00:00+08:00,28.89,29.09,28.89,29.09,3109078
2017-03-31 00:00:00+08:00,28.95,28.99,28.94,28.96,12347000
2017-04-05 00:00:00+08:00,29.08,29.24,29.08,29.2,1764000
2017-04-06 00:00:00+08:00,29.21,29.34,29.17,29.34,2254000
