日期,開盤價,最高價,最低價,收盤價,成交量
2017-09-19 00:00:00+08:00,17.59,17.59,17.59,17.59,0
2017-09-20 00:00:00+08:00,17.59,17.59,17.59,17.59,0
2017-09-21 00:00:00+08:00,17.59,17.59,17.59,17.59,0
2017-09-22 00:00:00+08:00,17.59,17.59,17.59,17.59,0
2017-09-25 00:00:00+08:00,17.57,17.57,17.57,17.57,0
2017-09-26 00:00:00+08:00,17.49,17.49,17.49,17.49,0
2017-09-27 00:00:00+08:00,17.42,17.55,17.42,17.52,682260
2017-09-28 00:00:00+08:00,17.53,17.56,17.49,17.5,716460
2017-09-29 00:00:00+08:00,17.5,17.53,17.36,17.47,541280
2017-10-02 00:00:00+08:00,17.56,17.66,17.55,17.65,284610
2017-10-03 00:00:00+08:00,17.65,17.84,17.65,17.83,413000
2017-10-05 00:00:00+08:00,17.83,18.06,17.83,18.0,3507000
2017-10-06 00:00:00+08:00,18.01,18.01,17.88,17.94,110457
2017-10-11 00:00:00+08:00,18.0,18.07,17.96,18.03,3388000
2017-10-12 00:00:00+08:00,18.03,18.03,17.98,18.01,181207
2017-10-13 00:00:00+08:00,18.03,18.14,18.0,18.12,3380200
2017-10-16 00:00:00+08:00,18.15,18.18,18.09,18.18,1750146
2017-10-17 00:00:00+08:00,18.18,18.28,18.07,18.28,247000
2017-10-18 00:00:00+08:00,18.21,18.21,18.04,18.08,527000
2017-10-19 00:00:00+08:00,18.08,18.13,18.08,18.12,269000
2017-10-20 00:00:00+08:00,18.1,18.12,18.0,18.09,107000
2017-10-23 00:00:00+08:00,18.15,18.19,18.15,18.16,37100
2017-10-24 00:00:00+08:00,18.16,18.24,18.16,18.22,255000
2017-10-25 00:00:00+08:00,18.2,18.2,18.12,18.14,66100
2017-10-26 00:00:00+08:00,18.14,18.14,18.1,18.12,87100
2017-10-27 00:00:00+08:00,18.11,18.12,17.93,17.93,274000
2017-10-30 00:00:00+08:00,18.03,18.03,17.93,17.95,46000
2017-10-31 00:00:00+08:00,17.97,18.03,17.96,18.03,41000
2017-11-01 00:00:00+08:00,18.05,18.05,18.0,18.04,64200
2017-11-02 00:00:00+08:00,18.04,18.05,17.99,18.01,60000
2017-11-03 00:00:00+08:00,18.04,18.04,17.97,18.0,58000
2017-11-06 00:00:00+08:00,17.99,17.99,17.94,17.96,67000
2017-11-07 00:00:00+08:00,18.0,18.0,17.97,18.0,47000
