日期,開盤價,最高價,最低價,收盤價,成交量
2022-08-01 00:00:00+08:00,11.61,11.61,11.61,11.61,0
2022-08-02 00:00:00+08:00,11.61,11.61,11.61,11.61,0
2022-08-03 00:00:00+08:00,11.61,11.61,11.61,11.61,0
2022-08-04 00:00:00+08:00,11.61,11.61,11.61,11.61,0
2022-08-05 00:00:00+08:00,11.65,11.65,11.65,11.65,0
2022-08-08 00:00:00+08:00,11.72,11.72,11.72,11.72,0
2022-08-09 00:00:00+08:00,11.77,11.77,11.77,11.77,0
2022-08-10 00:00:00+08:00,11.65,11.68,11.64,11.66,4781600
2022-08-11 00:00:00+08:00,11.71,11.82,11.7,11.8,16067600
2022-08-12 00:00:00+08:00,11.8,11.85,11.8,11.83,6378251
2022-08-15 00:00:00+08:00,11.85,11.87,11.82,11.83,4894350
2022-08-16 00:00:00+08:00,11.83,11.87,11.81,11.85,4569500
2022-08-17 00:00:00+08:00,11.86,11.89,11.85,11.89,3169320
2022-08-18 00:00:00+08:00,11.88,11.88,11.81,11.85,2248460
2022-08-19 00:00:00+08:00,11.85,11.89,11.83,11.87,3048091
2022-08-22 00:00:00+08:00,11.84,11.84,11.82,11.84,1144000
2022-08-23 00:00:00+08:00,11.78,11.81,11.71,11.72,2734046
2022-08-24 00:00:00+08:00,11.73,11.78,11.68,11.69,1438588
2022-08-25 00:00:00+08:00,11.7,11.77,11.69,11.75,1457300
2022-08-26 00:00:00+08:00,11.77,11.8,11.76,11.76,1367372
2022-08-29 00:00:00+08:00,11.61,11.64,11.55,11.6,2791350
2022-08-30 00:00:00+08:00,11.6,11.67,11.58,11.65,1066500
2022-08-31 00:00:00+08:00,11.65,11.69,11.61,11.67,897400
2022-09-01 00:00:00+08:00,11.55,11.62,11.51,11.57,2852835
2022-09-02 00:00:00+08:00,11.6,11.6,11.51,11.51,1073864
2022-09-05 00:00:00+08:00,11.53,11.53,11.44,11.49,632821
2022-09-06 00:00:00+08:00,11.55,11.55,11.46,11.49,650651
2022-09-07 00:00:00+08:00,11.46,11.46,11.34,11.36,1394714
2022-09-08 00:00:00+08:00,11.41,11.53,11.39,11.51,896561
2022-09-12 00:00:00+08:00,11.6,11.66,11.58,11.64,1062395
2022-09-13 00:00:00+08:00,11.66,11.71,11.65,11.65,1211920
2022-09-14 00:00:00+08:00,11.54,11.54,11.46,11.52,662196
2022-09-15 00:00:00+08:00,11.54,11.61,11.51,11.58,572268
2022-09-16 00:00:00+08:00,11.58,11.58,11.48,11.5,316202
2022-09-19 00:00:00+08:00,11.51,11.57,11.47,11.48,358005
2022-09-20 00:00:00+08:00,11.48,11.49,11.47,11.49,171150
2022-09-21 00:00:00+08:00,11.47,11.48,11.38,11.39,1202482
2022-09-22 00:00:00+08:00,11.3,11.31,11.2,11.29,784193
2022-09-23 00:00:00+08:00,11.28,11.31,11.23,11.3,1568879
2022-09-26 00:00:00+08:00,11.23,11.24,11.04,11.08,1159418
2022-09-27 00:00:00+08:00,11.08,11.11,11.03,11.06,605450
2022-09-28 00:00:00+08:00,11.07,11.1,10.86,10.87,1908976
2022-09-29 00:00:00+08:00,10.95,10.99,10.86,10.99,904300
2022-09-30 00:00:00+08:00,10.89,10.89,10.8,10.86,1421900
2022-10-03 00:00:00+08:00,10.79,10.83,10.75,10.79,1234898
2022-10-04 00:00:00+08:00,10.86,10.99,10.86,10.98,801600
2022-10-05 00:00:00+08:00,11.06,11.13,11.06,11.07,762195
2022-10-06 00:00:00+08:00,11.1,11.12,11.07,11.09,797075
2022-10-07 00:00:00+08:00,11.13,11.13,11.01,11.03,506300
2022-10-11 00:00:00+08:00,10.99,10.99,10.76,10.79,674128
2022-10-12 00:00:00+08:00,10.79,10.83,10.7,10.77,808719
2022-10-13 00:00:00+08:00,10.72,10.77,10.58,10.61,892021
2022-10-14 00:00:00+08:00,10.69,10.75,10.68,10.68,716050
2022-10-17 00:00:00+08:00,10.49,10.67,10.49,10.67,980150
2022-10-18 00:00:00+08:00,10.79,10.79,10.69,10.78,302050
2022-10-19 00:00:00+08:00,10.81,10.86,10.79,10.79,713100
2022-10-20 00:00:00+08:00,10.76,10.76,10.58,10.69,716000
2022-10-21 00:00:00+08:00,10.73,10.74,10.63,10.66,1048050
2022-10-24 00:00:00+08:00,10.78,10.81,10.69,10.7,640215
2022-10-25 00:00:00+08:00,10.75,10.75,10.62,10.67,1022000
2022-10-26 00:00:00+08:00,10.67,10.75,10.65,10.71,294000
2022-10-27 00:00:00+08:00,10.79,10.83,10.75,10.79,275000
2022-10-28 00:00:00+08:00,10.79,10.8,10.69,10.72,424050
2022-10-31 00:00:00+08:00,10.84,10.85,10.75,10.8,509000
2022-11-01 00:00:00+08:00,10.75,10.83,10.75,10.82,646000
2022-11-02 00:00:00+08:00,10.82,10.86,10.82,10.86,429000
2022-11-03 00:00:00+08:00,10.84,10.88,10.79,10.86,381000
2022-11-04 00:00:00+08:00,10.86,10.92,10.79,10.9,272000
2022-11-07 00:00:00+08:00,10.9,11.1,10.9,11.08,718243
2022-11-08 00:00:00+08:00,11.1,11.15,11.1,11.15,455276
2022-11-09 00:00:00+08:00,11.16,11.26,11.16,11.26,526001
2022-11-10 00:00:00+08:00,11.24,11.24,11.15,11.19,210126
2022-11-11 00:00:00+08:00,11.43,11.44,11.32,11.42,916010
2022-11-14 00:00:00+08:00,11.45,11.54,11.44,11.51,671142
2022-11-15 00:00:00+08:00,11.51,11.59,11.46,11.57,908200
2022-11-16 00:00:00+08:00,11.57,11.63,11.51,11.54,1275218
2022-11-17 00:00:00+08:00,11.54,11.59,11.49,11.58,612668
2022-11-18 00:00:00+08:00,11.58,11.66,11.54,11.6,814200
2022-11-21 00:00:00+08:00,11.61,11.61,11.55,11.58,430000
2022-11-22 00:00:00+08:00,11.61,11.61,11.55,11.59,690200
2022-11-23 00:00:00+08:00,11.65,11.76,11.63,11.71,6402697
2022-11-24 00:00:00+08:00,11.73,11.81,11.73,11.79,2994213
2022-11-25 00:00:00+08:00,11.77,11.81,11.71,11.71,1119050
2022-11-28 00:00:00+08:00,11.61,11.73,11.61,11.69,592072
