日期,開盤價,最高價,最低價,收盤價,成交量
2022-10-13 00:00:00+08:00,11.09,11.09,11.09,11.09,0
2022-10-14 00:00:00+08:00,11.09,11.09,11.09,11.09,0
2022-10-17 00:00:00+08:00,11.12,11.12,11.12,11.12,0
2022-10-18 00:00:00+08:00,11.19,11.19,11.19,11.19,0
2022-10-19 00:00:00+08:00,11.2,11.2,11.2,11.2,0
2022-10-20 00:00:00+08:00,11.07,11.1,10.95,11.09,51765909
2022-10-21 00:00:00+08:00,11.1,11.12,11.03,11.03,27509900
2022-10-24 00:00:00+08:00,11.13,11.2,11.05,11.05,32609261
2022-10-25 00:00:00+08:00,11.09,11.09,10.91,10.92,9122002
2022-10-26 00:00:00+08:00,10.95,11.0,10.88,10.95,7820452
2022-10-27 00:00:00+08:00,11.04,11.1,11.04,11.08,3310000
2022-10-28 00:00:00+08:00,11.07,11.07,10.89,10.9,5275150
2022-10-31 00:00:00+08:00,10.97,11.05,10.92,11.0,3958221
2022-11-01 00:00:00+08:00,11.0,11.06,10.98,11.01,2866432
2022-11-02 00:00:00+08:00,11.02,11.12,11.02,11.1,3398201
2022-11-03 00:00:00+08:00,11.01,11.09,10.96,11.08,2131560
2022-11-04 00:00:00+08:00,11.05,11.11,11.0,11.09,1719669
2022-11-07 00:00:00+08:00,11.15,11.43,11.15,11.41,21593204
2022-11-08 00:00:00+08:00,11.47,11.63,11.47,11.52,7529802
2022-11-09 00:00:00+08:00,11.66,11.79,11.66,11.77,10494650
2022-11-10 00:00:00+08:00,11.76,11.8,11.7,11.77,6343064
2022-11-11 00:00:00+08:00,12.09,12.2,11.97,12.01,8940571
2022-11-14 00:00:00+08:00,12.01,12.08,12.0,12.07,5230624
2022-11-15 00:00:00+08:00,12.07,12.17,12.03,12.17,6000301
2022-11-16 00:00:00+08:00,12.19,12.3,12.13,12.23,8605772
2022-11-17 00:00:00+08:00,12.23,12.31,12.17,12.31,7276004
2022-11-18 00:00:00+08:00,12.29,12.4,12.25,12.26,9086130
2022-11-21 00:00:00+08:00,12.28,12.29,12.14,12.16,3997319
2022-11-22 00:00:00+08:00,12.14,12.17,12.09,12.15,2951086
2022-11-23 00:00:00+08:00,12.23,12.26,12.21,12.22,2818045
2022-11-24 00:00:00+08:00,12.27,12.42,12.27,12.41,7345810
2022-11-25 00:00:00+08:00,12.42,12.47,12.31,12.31,3807848
2022-11-28 00:00:00+08:00,12.18,12.27,12.12,12.18,5045339
