日期,開盤價,最高價,最低價,收盤價,成交量
2023-06-01 00:00:00+08:00,12.51,12.51,12.51,12.51,0
2023-06-02 00:00:00+08:00,12.51,12.51,12.51,12.51,0
2023-06-05 00:00:00+08:00,12.51,12.51,12.51,12.51,0
2023-06-06 00:00:00+08:00,12.51,12.51,12.51,12.51,0
2023-06-07 00:00:00+08:00,12.52,12.52,12.52,12.52,0
2023-06-08 00:00:00+08:00,12.49,12.49,12.49,12.49,0
2023-06-09 00:00:00+08:00,12.54,13.02,12.54,12.84,119673458
2023-06-12 00:00:00+08:00,12.98,13.01,12.74,12.81,83963180
2023-06-13 00:00:00+08:00,12.93,13.0,12.91,12.97,30606336
2023-06-14 00:00:00+08:00,12.98,13.0,12.93,12.95,21331737
2023-06-15 00:00:00+08:00,13.0,13.07,12.99,13.04,20993013
2023-06-16 00:00:00+08:00,13.11,13.16,12.95,13.06,23069095
2023-06-19 00:00:00+08:00,13.08,13.09,12.97,13.0,20937714
2023-06-20 00:00:00+08:00,12.99,12.99,12.86,12.9,20292830
2023-06-21 00:00:00+08:00,12.91,13.07,12.91,13.05,16340574
2023-06-26 00:00:00+08:00,13.03,13.03,12.92,12.93,18137621
2023-06-27 00:00:00+08:00,12.93,12.93,12.77,12.77,24553861
2023-06-28 00:00:00+08:00,12.86,12.9,12.82,12.83,12016340
2023-06-29 00:00:00+08:00,12.85,12.95,12.81,12.88,13517646
2023-06-30 00:00:00+08:00,12.89,12.91,12.81,12.91,11399128
2023-07-03 00:00:00+08:00,12.98,13.09,12.98,13.06,17035083
2023-07-04 00:00:00+08:00,13.2,13.27,13.12,13.27,40339525
2023-07-05 00:00:00+08:00,13.36,13.36,13.26,13.28,48643799
2023-07-06 00:00:00+08:00,13.25,13.31,13.18,13.22,48512498
2023-07-07 00:00:00+08:00,13.21,13.21,13.0,13.07,51068758
2023-07-10 00:00:00+08:00,13.12,13.12,13.0,13.02,38029702
2023-07-11 00:00:00+08:00,13.15,13.21,13.12,13.2,22553777
2023-07-12 00:00:00+08:00,13.22,13.3,13.2,13.27,44400197
2023-07-13 00:00:00+08:00,13.41,13.56,13.4,13.4,63598913
2023-07-14 00:00:00+08:00,13.53,13.65,13.49,13.63,54501146
2023-07-17 00:00:00+08:00,13.68,13.91,13.68,13.88,114006850
2023-07-18 00:00:00+08:00,14.16,14.22,13.68,13.82,144046255
2023-07-19 00:00:00+08:00,13.94,13.98,13.65,13.68,79329073
2023-07-20 00:00:00+08:00,13.71,13.76,13.63,13.67,42279295
2023-07-21 00:00:00+08:00,13.58,13.65,13.44,13.64,51915541
2023-07-24 00:00:00+08:00,13.65,13.71,13.6,13.7,44314346
2023-07-25 00:00:00+08:00,13.74,13.79,13.66,13.7,41696467
2023-07-26 00:00:00+08:00,13.71,13.72,13.58,13.6,56310035
2023-07-27 00:00:00+08:00,13.65,13.71,13.65,13.7,29839962
2023-07-28 00:00:00+08:00,13.74,13.91,13.7,13.9,44067280
2023-07-31 00:00:00+08:00,14.11,14.2,13.86,13.98,106844317
2023-08-01 00:00:00+08:00,14.04,14.08,13.82,13.91,81935641
2023-08-02 00:00:00+08:00,13.96,13.99,13.68,13.76,118881914
2023-08-04 00:00:00+08:00,13.73,13.82,13.64,13.8,94602291
2023-08-07 00:00:00+08:00,13.84,13.97,13.78,13.97,88646519
2023-08-08 00:00:00+08:00,14.02,14.02,13.81,13.89,111812445
2023-08-09 00:00:00+08:00,13.88,13.91,13.81,13.84,90485139
2023-08-10 00:00:00+08:00,13.84,13.85,13.65,13.7,130225564
2023-08-11 00:00:00+08:00,13.76,13.78,13.68,13.71,72473315
2023-08-14 00:00:00+08:00,13.71,13.71,13.64,13.64,170386838
2023-08-15 00:00:00+08:00,13.74,13.79,13.71,13.76,109769570
2023-08-16 00:00:00+08:00,13.74,13.81,13.65,13.8,122870675
2023-08-17 00:00:00+08:00,13.78,13.92,13.75,13.92,83504879
2023-08-18 00:00:00+08:00,13.92,13.96,13.78,13.78,142863549
2023-08-21 00:00:00+08:00,13.87,13.89,13.79,13.82,72253551
2023-08-22 00:00:00+08:00,13.9,13.93,13.82,13.84,71266889
2023-08-23 00:00:00+08:00,13.85,14.0,13.85,13.99,70179918
2023-08-24 00:00:00+08:00,14.16,14.16,14.0,14.08,113264476
2023-08-25 00:00:00+08:00,14.0,14.09,13.97,14.06,78245186
2023-08-28 00:00:00+08:00,14.11,14.14,14.02,14.02,111109560
2023-08-29 00:00:00+08:00,14.05,14.1,13.99,14.08,71765259
2023-08-30 00:00:00+08:00,14.18,14.2,14.14,14.17,67919381
2023-08-31 00:00:00+08:00,14.18,14.25,14.14,14.24,74301151
2023-09-01 00:00:00+08:00,14.24,14.27,14.2,14.21,88439519
2023-09-04 00:00:00+08:00,14.25,14.36,14.2,14.35,105233589
2023-09-05 00:00:00+08:00,14.37,14.66,14.35,14.63,172607812
2023-09-06 00:00:00+08:00,14.75,15.05,14.71,14.92,266743876
2023-09-07 00:00:00+08:00,14.92,15.05,14.88,14.88,232330427
2023-09-08 00:00:00+08:00,14.88,14.95,14.75,14.85,171687669
2023-09-11 00:00:00+08:00,14.92,14.93,14.77,14.79,166908812
2023-09-12 00:00:00+08:00,14.85,15.03,14.76,14.93,186819385
2023-09-13 00:00:00+08:00,14.99,15.07,14.96,15.04,177573235
2023-09-14 00:00:00+08:00,15.15,15.35,15.14,15.33,199860315
2023-09-15 00:00:00+08:00,15.42,15.52,15.39,15.47,286856357
2023-09-18 00:00:00+08:00,15.45,15.51,15.39,15.39,314811363
2023-09-19 00:00:00+08:00,15.48,15.53,15.38,15.38,195964973
2023-09-20 00:00:00+08:00,15.37,15.38,15.01,15.03,337538971
2023-09-21 00:00:00+08:00,14.94,14.94,14.73,14.77,230525915
2023-09-22 00:00:00+08:00,14.59,14.84,14.53,14.83,151496335
2023-09-25 00:00:00+08:00,14.9,14.98,14.87,14.94,109290455
2023-09-26 00:00:00+08:00,14.9,14.96,14.75,14.75,120143615
2023-09-27 00:00:00+08:00,14.71,14.74,14.59,14.66,143963456
2023-09-28 00:00:00+08:00,14.74,14.81,14.63,14.67,91066973
2023-10-02 00:00:00+08:00,14.81,14.91,14.8,14.88,104923415
2023-10-03 00:00:00+08:00,14.89,14.98,14.82,14.82,107088427
2023-10-04 00:00:00+08:00,14.72,14.77,14.63,14.75,111017173
2023-10-05 00:00:00+08:00,14.88,14.88,14.83,14.85,56883640
