除息日,股利
2023-07-19 00:00:00+08:00,0.11
2023-08-17 00:00:00+08:00,0.11
2023-09-19 00:00:00+08:00,0.11
2023-10-24 00:00:00+08:00,0.11
2023-11-21 00:00:00+08:00,0.11
2023-12-19 00:00:00+08:00,0.11
2024-01-18 00:00:00+08:00,0.13
2024-02-29 00:00:00+08:00,0.13
2024-03-19 00:00:00+08:00,0.13
2024-04-23 00:00:00+08:00,0.2
2024-05-21 00:00:00+08:00,0.2
2024-06-20 00:00:00+08:00,0.2
2024-07-17 00:00:00+08:00,0.18
2024-08-20 00:00:00+08:00,0.18
2024-09-19 00:00:00+08:00,0.16
2024-10-22 00:00:00+08:00,0.14
2024-11-19 00:00:00+08:00,0.11
2024-12-18 00:00:00+08:00,0.05
2025-01-16 00:00:00+08:00,0.05
2025-02-19 00:00:00+08:00,0.05
2025-03-19 00:00:00+08:00,0.05
2025-04-22 00:00:00+08:00,0.05
2025-05-20 00:00:00+08:00,0.07
2025-06-18 00:00:00+08:00,0.07
2025-07-17 00:00:00+08:00,0.07
2025-08-19 00:00:00+08:00,0.08
2025-09-17 00:00:00+08:00,0.08
2025-10-21 00:00:00+08:00,0.08
2025-11-19 00:00:00+08:00,0.09
2025-12-17 00:00:00+08:00,0.09
2026-01-20 00:00:00+08:00,0.1
