date,dividend
2024-02-27,0.23
2024-03-18,0.07
2024-04-18,0.07
2024-05-17,0.07
2024-06-20,0.072
2024-07-16,0.072
2024-08-16,0.072
2024-09-18,0.075
2024-10-17,0.08
2024-11-18,0.082
2024-12-17,0.082
2025-01-17,0.082
2025-02-20,0.082
2025-03-18,0.082
2025-04-21,0.082
2025-05-19,0.082
2025-06-17,0.082
2025-07-16,0.082
2025-08-18,0.072
2025-09-16,0.072
2025-10-20,0.072
2025-11-18,0.072
2025-12-16,0.072
2026-01-20,0.072
2026-02-26,0.072
2026-03-17,0.072
2026-04-20,0.072
2026-05-19,0.072
2026-06-16,0.073
2026-07-16,0.073
