date,open,high,low,close,volume
2023-10-04,13.06,13.06,13.06,13.06,0
2023-10-05,13.05,13.05,13.05,13.05,0
2023-10-06,13.06,13.06,13.06,13.06,0
2023-10-11,13.06,13.06,13.06,13.06,0
2023-10-12,13.06,13.06,13.06,13.06,0
2023-10-13,13.06,13.06,13.06,13.06,0
2023-10-16,13.05,13.05,13.05,13.05,0
2023-10-17,12.95,12.95,12.95,12.95,0
2023-10-18,12.8,12.8,12.8,12.8,0
2023-10-19,12.66,12.66,12.66,12.66,0
2023-10-20,12.7,12.7,12.7,12.7,0
2023-10-23,12.82,12.82,12.82,12.82,0
2023-10-24,12.93,12.93,12.93,12.93,0
2023-10-25,12.78,12.78,12.78,12.78,0
2023-10-26,12.95,12.95,12.95,12.95,0
2023-10-27,12.91,12.91,12.91,12.91,0
2023-10-30,12.87,12.87,12.87,12.87,0
2023-10-31,12.83,12.83,12.83,12.83,0
2023-11-01,13.07,13.07,13.07,13.07,0
2023-11-02,13.26,13.26,13.26,13.26,0
2023-11-03,13.35,13.35,13.35,13.35,0
2023-11-06,13.24,13.24,13.24,13.24,0
2023-11-07,13.37,13.37,13.37,13.37,0
2023-11-08,13.52,13.52,13.52,13.52,0
2023-11-09,13.32,13.32,13.32,13.32,0
2023-11-10,13.46,13.46,13.46,13.46,0
2023-11-13,13.47,13.47,13.47,13.47,0
2023-11-14,13.75,13.75,13.75,13.75,0
2023-11-15,13.55,13.55,13.55,13.55,0
2023-11-16,13.65,13.65,13.65,13.65,0
2023-11-17,13.66,13.66,13.66,13.66,0
2023-11-20,13.65,13.65,13.65,13.65,0
2023-11-21,13.55,13.55,13.55,13.55,0
2023-11-22,13.67,13.67,13.67,13.67,0
2023-11-24,13.63,13.63,13.63,13.63,0
2023-11-27,13.74,13.74,13.74,13.74,0
2023-11-28,13.73,13.73,13.73,13.73,0
2023-11-29,13.78,13.78,13.78,13.78,0
2023-11-30,13.71,13.71,13.71,13.71,0
2023-12-01,14.0,14.0,14.0,14.0,0
2023-12-04,13.93,13.93,13.93,13.93,0
2023-12-05,14.15,14.15,14.15,14.15,0
2023-12-06,14.27,14.27,14.27,14.27,0
2023-12-07,14.24,14.24,14.24,14.24,0
