date,dividend
1993-07-22,0.0092
1994-06-07,0.014
2000-07-14,0.115
2001-07-02,0.1868
2002-07-23,0.234
2003-08-07,0.2578
2004-08-23,0.495
2005-09-02,0.6966
2006-08-17,1.0211
2007-08-27,1.2253
2008-09-16,1.4704
2009-06-02,0.713
2010-08-25,1.2964
2011-07-29,0.726
2012-08-10,1.1979
2013-09-09,1.3177
2014-08-28,1.7393
2015-09-03,4.1126
2016-09-02,4.5454
2017-07-13,5.625
2018-07-25,2.5
2019-07-25,4.0
2020-07-23,4.2
2021-07-22,4.0
2022-07-04,5.2
2023-07-04,5.3
2024-07-02,5.4
2025-07-02,5.8
2026-07-02,7.1718
