date,open,high,low,close,volume
2000-01-04,20.08,20.8,19.35,19.83,83044141641
2000-01-05,19.59,19.83,19.35,19.43,55362761094
2000-01-06,19.51,20.0,19.35,19.35,55362761094
2000-01-07,19.27,19.27,18.71,18.87,27681380547
2000-01-10,19.03,19.75,19.03,19.35,55362761094
2000-01-11,19.75,20.0,19.43,19.51,55362761094
2000-01-12,19.67,20.88,19.59,20.88,138406902735
2000-01-13,21.6,21.6,20.72,20.88,166088283282
2000-01-14,21.12,21.2,20.16,20.24,55362761094
2000-01-17,20.8,20.96,20.48,20.8,55362761094
2000-01-18,20.88,20.88,20.48,20.64,27681380547
2000-01-19,20.88,21.12,20.56,20.56,55362761094
2000-01-20,20.88,20.88,20.24,20.32,27681380547
2000-01-21,20.4,20.64,20.32,20.32,27681380547
2000-01-24,20.64,20.64,20.32,20.32,24913242492
2000-01-25,20.16,20.32,20.08,20.08,27681380547
2000-01-26,20.08,20.48,20.08,20.16,27681380547
2000-01-27,20.88,20.88,20.24,20.32,27681380547
2000-01-28,20.32,21.6,20.32,21.28,138406902735
2000-01-31,21.04,21.28,20.8,21.04,55362761094
2000-02-01,21.28,21.28,21.04,21.2,55362761094
2000-02-02,21.2,21.2,21.2,21.2,0
2000-02-03,21.2,21.2,21.2,21.2,0
2000-02-04,21.2,21.2,21.2,21.2,0
2000-02-07,21.2,21.2,21.2,21.2,0
2000-02-08,21.2,21.2,21.2,21.2,0
2000-02-09,21.44,21.68,21.04,21.12,83044141641
2000-02-10,21.12,21.36,20.72,20.72,55362761094
2000-02-11,20.88,21.28,20.72,20.88,83044141641
2000-02-14,20.64,20.72,20.24,20.32,55362761094
2000-02-15,20.32,20.32,20.08,20.08,27681380547
2000-02-16,20.16,20.32,20.16,20.16,24913242492
2000-02-17,20.08,20.48,20.08,20.16,55362761094
2000-02-18,20.32,20.48,20.08,20.08,27681380547
2000-02-21,19.75,19.75,19.27,19.27,27681380547
2000-02-22,19.27,19.83,19.27,19.59,27681380547
2000-02-23,19.75,19.75,19.27,19.27,19376966382
2000-02-24,19.43,19.59,19.27,19.27,22145104437
2000-02-25,19.51,19.51,18.87,18.95,24913242492
2000-02-28,18.95,18.95,18.95,18.95,0
2000-02-29,19.11,19.19,18.31,18.39,27681380547
2000-03-01,18.95,18.95,18.63,18.79,16608828328
2000-03-02,18.95,18.95,18.47,18.47,16608828328
2000-03-03,19.03,19.67,18.63,19.67,27681380547
2000-03-06,19.67,19.67,19.27,19.27,16608828328
2000-03-07,18.95,19.43,18.95,19.03,13840690273
2000-03-08,19.03,19.27,19.03,19.03,19376966382
2000-03-09,19.27,19.67,19.11,19.43,27681380547
2000-03-10,19.67,19.67,18.95,18.95,24913242492
2000-03-13,18.79,18.79,17.67,17.67,55362761094
2000-03-14,17.67,18.55,17.67,18.47,55362761094
2000-03-15,18.47,18.47,18.07,18.07,27681380547
2000-03-16,17.27,18.07,17.27,17.75,27681380547
2000-03-17,18.07,18.47,17.83,17.99,55362761094
2000-03-20,17.43,17.43,17.43,17.43,5536276109
2000-03-21,16.86,18.47,16.86,18.47,55362761094000
2000-03-22,18.39,18.87,18.07,18.47,55362761094
2000-03-23,18.79,19.67,18.79,19.59,83044141641
2000-03-24,19.59,19.59,19.03,19.19,55362761094
2000-03-27,19.19,20.48,19.19,20.48,110725522188
2000-03-28,20.32,20.32,19.67,19.83,55362761094
2000-03-29,19.67,19.67,19.43,19.59,24913242492
2000-03-30,20.08,20.96,19.92,20.96,110725522188
2000-03-31,21.68,22.0,21.2,21.36,276813805470
2000-04-03,21.36,21.36,21.36,21.36,0
